FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;22,5;;;
160102;0000;17,4167;;;
160103;0000;16,7083;;;
160104;0000;18,9167;;;
160105;0000;24,8333;;;
160106;0000;23,3333;;;
160107;0000;18,375;;;
160108;0000;10,9545;;;
160109;0000;9,375;;;
160110;0000;10,5;;;
160111;0000;9,08696;;;
160112;0000;;;6,42857;
160113;0000;10,1667;;;
160114;0000;10,9167;;;
160115;0000;13,4167;;;
160116;0000;15,875;;;
160117;0000;12;;;
160118;0000;24,8333;;;
160119;0000;14,5417;;;
160120;0000;14,5833;;;
160121;0000;12,125;;;
160122;0000;12,1667;;;
160123;0000;10,0417;;;
160124;0000;4,20834;;;
160125;0000;9,20833;;;
160126;0000;7,29166;;;
160127;0000;10,0833;;;
160128;0000;8,75;;;
160129;0000;7,125;;;
160130;0000;12,1667;;;
160131;0000;10,8333;;;
160201;0000;14,5417;;;
160202;0000;17,1667;;;
160203;0000;20,25;;;
160204;0000;14,125;;;
160205;0000;10,8333;;;
160206;0000;10,7917;;;
160207;0000;9,95833;;;
160208;0000;12,1667;;;
160209;0000;19,3333;;;
160210;0000;12,2083;;;
160211;0000;10,3333;;;
160212;0000;8,54167;;;
160213;0000;9,16667;;;
160214;0000;9,83333;;;
160215;0000;12,0417;;;
160216;0000;9,25;;;
160217;0000;7,95834;;;
160218;0000;7,29166;;;
160219;0000;10,1364;;;
160220;0000;11,4583;;;
160221;0000;11,4167;;;
160222;0000;11,625;;;
160223;0000;14,4167;;;
160224;0000;17,0417;;;
160225;0000;15,8696;;;
160226;0000;8,54167;;;
160227;0000;15,875;;;
160228;0000;13,7083;;;
160229;0000;11,4583;;;
160301;0000;29,375;;;
160302;0000;;;;
160303;0000;;;;
160304;0000;19,2917;;;
160305;0000;21,1667;;;
160306;0000;13,7083;;;
160307;0000;10,5;;;
160308;0000;17,4583;;;
160309;0000;21,5417;;;
160310;0000;19,1667;;;
160311;0000;23,7917;;;
160312;0000;23,0417;;;
160313;0000;20,5417;;;
160314;0000;;;15,5714;
160315;0000;;;;
160316;0000;;;;
160317;0000;;;;
160318;0000;27,875;;;
160319;0000;20,625;;;
160320;0000;23,6667;;;
160321;0000;22,4167;;;
160322;0000;31,25;;;
160323;0000;33,25;;;
160324;0000;34;;;
160325;0000;34,5833;;;
160326;0000;35,5;;;
160327;0000;36,5;;;
160328;0000;26,2083;;;
160329;0000;23,25;;;
160330;0000;26,8333;;;
160331;0000;26,1667;;;
160401;0000;20,4167;;;
160402;0000;24,9546;;;
160403;0000;13,9167;;;
160404;0000;16,9583;;;
160405;0000;34,75;;;
160406;0000;26,5417;;;
160407;0000;26;;;
160408;0000;33,4167;;;
160409;0000;17,5;;;
160410;0000;30;;;
160411;0000;33,6667;;;
160412;0000;26,7917;;;
160413;0000;61,375;;;
160414;0000;33,0833;;;
160415;0000;16,8333;;;
160416;0000;24,0833;;;
160417;0000;9,43478;;;
160418;0000;12,0833;;;
160419;0000;;;;
160420;0000;32,6364;;;
160421;0000;;;13;
160422;0000;;;13,7368;
160423;0000;14,4091;;;
160424;0000;10,1111;;;
160425;0000;24,25;;;
160426;0000;44,4091;;;
160427;0000;48,6667;;;
160428;0000;50,2273;;;
160429;0000;66,8334;;;
160430;0000;100,167;;;
160501;0000;63,7917;;;
160502;0000;45;;;
160503;0000;42,7917;;;
160504;0000;42,7083;;;
160505;0000;29,4583;;;
160506;0000;46,25;;;
160507;0000;52,9167;;;
160508;0000;34,4583;;;
160509;0000;41,1667;;;
160510;0000;46,875;;;
160511;0000;41,75;;;
160512;0000;44,5417;;;
160513;0000;56,5833;;;
160514;0000;47,75;;;
160515;0000;35,7917;;;
160516;0000;43,3333;;;
160517;0000;32,5;;;
160518;0000;32;;;
160519;0000;57,0833;;;
160520;0000;47,6667;;;
160521;0000;35,875;;;
160522;0000;70,3334;;;
160523;0000;49,913;;;
160524;0000;60,913;;;
160525;0000;57,25;;;
160526;0000;66,0869;;;
160527;0000;66,1305;;;
160528;0000;75,875;;;
160529;0000;45,5;;;
160530;0000;18,5;;;
160531;0000;20,9583;;;
160601;0000;28,9167;;;
160602;0000;38,5833;;;
160603;0000;23,8333;;;
160604;0000;17,875;;;
160605;0000;33,625;;;
160606;0000;49,7917;;;
160607;0000;77,5834;;;
160608;0000;82,25;;;
